number,assignment
20,FTP data transfer
21,FTP command control
22,SSH
23,Telnet
25,SMTP
53,DNS
67,DHCP
68,DHCP
80,HTTP
110,POP3
119,NNTP
123,NTP
143,IMAP
161,SNMP
194,IRC
443,HTTPS
